support_item_number,support_item_name,jurisdiction,price,unit,quote,start_date_iso,end_date_iso,type
01_002_0107_1_1,Assistance With Self-Care Activities - Standard - Weekday Night,ACT,$78.81,H,No,2025-07-01,9999-12-31,Price Limited Supports
01_002_0107_1_1,Assistance With Self-Care Activities - Standard - Weekday Night,NSW,$78.81,H,No,2025-07-01,9999-12-31,Price Limited Supports
01_002_0107_1_1,Assistance With Self-Care Activities - Standard - Weekday Night,NT,$78.81,H,No,2025-07-01,9999-12-31,Price Limited Supports
01_002_0107_1_1,Assistance With Self-Care Activities - Standard - Weekday Night,QLD,$78.81,H,No,2025-07-01,9999-12-31,Price Limited Supports
01_002_0107_1_1,Assistance With Self-Care Activities - Standard - Weekday Night,SA,$78.81,H,No,2025-07-01,9999-12-31,Price Limited Supports
01_002_0107_1_1,Assistance With Self-Care Activities - Standard - Weekday Night,TAS,$78.81,H,No,2025-07-01,9999-12-31,Price Limited Supports
01_002_0107_1_1,Assistance With Self-Care Activities - Standard - Weekday Night,VIC,$78.81,H,No,2025-07-01,9999-12-31,Price Limited Supports
01_002_0107_1_1,Assistance With Self-Care Activities - Standard - Weekday Night,WA,$78.81,H,No,2025-07-01,9999-12-31,Price Limited Supports
01_002_0107_1_1,Assistance With Self-Care Activities - Standard - Weekday Night,Remote,$110.33,H,No,2025-07-01,9999-12-31,Price Limited Supports
01_002_0107_1_1,Assistance With Self-Care Activities - Standard - Weekday Night,Very Remote,$118.22,H,No,2025-07-01,9999-12-31,Price Limited Supports
01_003_0107_1_1,Assistance From Live-In Carer,ACT,NA,H,Yes,2025-07-01,9999-12-31,Quotable Supports
01_003_0107_1_1,Assistance From Live-In Carer,NSW,NA,H,Yes,2025-07-01,9999-12-31,Quotable Supports
01_003_0107_1_1,Assistance From Live-In Carer,NT,NA,H,Yes,2025-07-01,9999-12-31,Quotable Supports
01_003_0107_1_1,Assistance From Live-In Carer,QLD,NA,H,Yes,2025-07-01,9999-12-31,Quotable Supports
01_003_0107_1_1,Assistance From Live-In Carer,SA,NA,H,Yes,2025-07-01,9999-12-31,Quotable Supports
01_003_0107_1_1,Assistance From Live-In Carer,TAS,NA,H,Yes,2025-07-01,9999-12-31,Quotable Supports
01_003_0107_1_1,Assistance From Live-In Carer,VIC,NA,H,Yes,2025-07-01,9999-12-31,Quotable Supports
01_003_0107_1_1,Assistance From Live-In Carer,WA,NA,H,Yes,2025-07-01,9999-12-31,Quotable Supports
01_003_0107_1_1,Assistance From Live-In Carer,Remote,NA,H,Yes,2025-07-01,9999-12-31,Quotable Supports
01_003_0107_1_1,Assistance From Live-In Carer,Very Remote,NA,H,Yes,2025-07-01,9999-12-31,Quotable Supports
01_004_0107_1_1,Assistance with Personal Domestic Activities,ACT,$59.06,H,No,2025-07-01,9999-12-31,Price Limited Supports
01_004_0107_1_1,Assistance with Personal Domestic Activities,NSW,$59.06,H,No,2025-07-01,9999-12-31,Price Limited Supports
01_004_0107_1_1,Assistance with Personal Domestic Activities,NT,$59.06,H,No,2025-07-01,9999-12-31,Price Limited Supports
01_004_0107_1_1,Assistance with Personal Domestic Activities,QLD,$59.06,H,No,2025-07-01,9999-12-31,Price Limited Supports
01_004_0107_1_1,Assistance with Personal Domestic Activities,SA,$59.06,H,No,2025-07-01,9999-12-31,Price Limited Supports
01_004_0107_1_1,Assistance with Personal Domestic Activities,TAS,$59.06,H,No,2025-07-01,9999-12-31,Price Limited Supports
01_004_0107_1_1,Assistance with Personal Domestic Activities,VIC,$59.06,H,No,2025-07-01,9999-12-31,Price Limited Supports
01_004_0107_1_1,Assistance with Personal Domestic Activities,WA,$59.06,H,No,2025-07-01,9999-12-31,Price Limited Supports
01_004_0107_1_1,Assistance with Personal Domestic Activities,Remote,$82.68,H,No,2025-07-01,9999-12-31,Price Limited Supports
01_004_0107_1_1,Assistance with Personal Domestic Activities,Very Remote,$88.59,H,No,2025-07-01,9999-12-31,Price Limited Supports
01_010_0107_1_1,Assistance With Self-Care Activities - Night-Time Sleepover,ACT,$297.60,E,No,2025-07-01,9999-12-31,Price Limited Supports
01_010_0107_1_1,Assistance With Self-Care Activities - Night-Time Sleepover,NSW,$297.60,E,No,2025-07-01,9999-12-31,Price Limited Supports
01_010_0107_1_1,Assistance With Self-Care Activities - Night-Time Sleepover,NT,$297.60,E,No,2025-07-01,9999-12-31,Price Limited Supports
01_010_0107_1_1,Assistance With Self-Care Activities - Night-Time Sleepover,QLD,$297.60,E,No,2025-07-01,9999-12-31,Price Limited Supports
01_010_0107_1_1,Assistance With Self-Care Activities - Night-Time Sleepover,SA,$297.60,E,No,2025-07-01,9999-12-31,Price Limited Supports
01_010_0107_1_1,Assistance With Self-Care Activities - Night-Time Sleepover,TAS,$297.60,E,No,2025-07-01,9999-12-31,Price Limited Supports
01_010_0107_1_1,Assistance With Self-Care Activities - Night-Time Sleepover,VIC,$297.60,E,No,2025-07-01,9999-12-31,Price Limited Supports
01_010_0107_1_1,Assistance With Self-Care Activities - Night-Time Sleepover,WA,$297.60,E,No,2025-07-01,9999-12-31,Price Limited Supports
01_010_0107_1_1,Assistance With Self-Care Activities - Night-Time Sleepover,Remote,$416.64,E,No,2025-07-01,9999-12-31,Price Limited Supports
01_010_0107_1_1,Assistance With Self-Care Activities - Night-Time Sleepover,Very Remote,$446.40,E,No,2025-07-01,9999-12-31,Price Limited Supports
01_011_0107_1_1,Assistance With Self-Care Activities - Standard - Weekday Daytime,ACT,$70.23,H,No,2025-07-01,9999-12-31,Price Limited Supports
01_011_0107_1_1,Assistance With Self-Care Activities - Standard - Weekday Daytime,NSW,$70.23,H,No,2025-07-01,9999-12-31,Price Limited Supports
01_011_0107_1_1,Assistance With Self-Care Activities - Standard - Weekday Daytime,NT,$70.23,H,No,2025-07-01,9999-12-31,Price Limited Supports
01_011_0107_1_1,Assistance With Self-Care Activities - Standard - Weekday Daytime,QLD,$70.23,H,No,2025-07-01,9999-12-31,Price Limited Supports
01_011_0107_1_1,Assistance With Self-Care Activities - Standard - Weekday Daytime,SA,$70.23,H,No,2025-07-01,9999-12-31,Price Limited Supports
01_011_0107_1_1,Assistance With Self-Care Activities - Standard - Weekday Daytime,TAS,$70.23,H,No,2025-07-01,9999-12-31,Price Limited Supports
01_011_0107_1_1,Assistance With Self-Care Activities - Standard - Weekday Daytime,VIC,$70.23,H,No,2025-07-01,9999-12-31,Price Limited Supports
01_011_0107_1_1,Assistance With Self-Care Activities - Standard - Weekday Daytime,WA,$70.23,H,No,2025-07-01,9999-12-31,Price Limited Supports
01_011_0107_1_1,Assistance With Self-Care Activities - Standard - Weekday Daytime,Remote,$98.32,H,No,2025-07-01,9999-12-31,Price Limited Supports
01_011_0107_1_1,Assistance With Self-Care Activities - Standard - Weekday Daytime,Very Remote,$105.35,H,No,2025-07-01,9999-12-31,Price Limited Supports
01_012_0107_1_1,Assistance With Self-Care Activities - Standard - Public Holiday,ACT,$156.03,H,No,2025-07-01,9999-12-31,Price Limited Supports
01_012_0107_1_1,Assistance With Self-Care Activities - Standard - Public Holiday,NSW,$156.03,H,No,2025-07-01,9999-12-31,Price Limited Supports
01_012_0107_1_1,Assistance With Self-Care Activities - Standard - Public Holiday,NT,$156.03,H,No,2025-07-01,9999-12-31,Price Limited Supports
01_012_0107_1_1,Assistance With Self-Care Activities - Standard - Public Holiday,QLD,$156.03,H,No,2025-07-01,9999-12-31,Price Limited Supports
01_012_0107_1_1,Assistance With Self-Care Activities - Standard - Public Holiday,SA,$156.03,H,No,2025-07-01,9999-12-31,Price Limited Supports
01_012_0107_1_1,Assistance With Self-Care Activities - Standard - Public Holiday,TAS,$156.03,H,No,2025-07-01,9999-12-31,Price Limited Supports
01_012_0107_1_1,Assistance With Self-Care Activities - Standard - Public Holiday,VIC,$156.03,H,No,2025-07-01,9999-12-31,Price Limited Supports
01_012_0107_1_1,Assistance With Self-Care Activities - Standard - Public Holiday,WA,$156.03,H,No,2025-07-01,9999-12-31,Price Limited Supports
01_012_0107_1_1,Assistance With Self-Care Activities - Standard - Public Holiday,Remote,$218.44,H,No,2025-07-01,9999-12-31,Price Limited Supports
01_012_0107_1_1,Assistance With Self-Care Activities - Standard - Public Holiday,Very Remote,$234.05,H,No,2025-07-01,9999-12-31,Price Limited Supports
01_013_0107_1_1,Assistance With Self-Care Activities - Standard - Saturday,ACT,$98.83,H,No,2025-07-01,9999-12-31,Price Limited Supports
01_013_0107_1_1,Assistance With Self-Care Activities - Standard - Saturday,NSW,$98.83,H,No,2025-07-01,9999-12-31,Price Limited Supports
01_013_0107_1_1,Assistance With Self-Care Activities - Standard - Saturday,NT,$98.83,H,No,2025-07-01,9999-12-31,Price Limited Supports
01_013_0107_1_1,Assistance With Self-Care Activities - Standard - Saturday,QLD,$98.83,H,No,2025-07-01,9999-12-31,Price Limited Supports
01_013_0107_1_1,Assistance With Self-Care Activities - Standard - Saturday,SA,$98.83,H,No,2025-07-01,9999-12-31,Price Limited Supports
01_013_0107_1_1,Assistance With Self-Care Activities - Standard - Saturday,TAS,$98.83,H,No,2025-07-01,9999-12-31,Price Limited Supports
01_013_0107_1_1,Assistance With Self-Care Activities - Standard - Saturday,VIC,$98.83,H,No,2025-07-01,9999-12-31,Price Limited Supports
01_013_0107_1_1,Assistance With Self-Care Activities - Standard - Saturday,WA,$98.83,H,No,2025-07-01,9999-12-31,Price Limited Supports
01_013_0107_1_1,Assistance With Self-Care Activities - Standard - Saturday,Remote,$138.36,H,No,2025-07-01,9999-12-31,Price Limited Supports
01_013_0107_1_1,Assistance With Self-Care Activities - Standard - Saturday,Very Remote,$148.25,H,No,2025-07-01,9999-12-31,Price Limited Supports
01_014_0107_1_1,Assistance With Self-Care Activities - Standard - Sunday,ACT,$127.43,H,No,2025-07-01,9999-12-31,Price Limited Supports
01_014_0107_1_1,Assistance With Self-Care Activities - Standard - Sunday,NSW,$127.43,H,No,2025-07-01,9999-12-31,Price Limited Supports
01_014_0107_1_1,Assistance With Self-Care Activities - Standard - Sunday,NT,$127.43,H,No,2025-07-01,9999-12-31,Price Limited Supports
01_014_0107_1_1,Assistance With Self-Care Activities - Standard - Sunday,QLD,$127.43,H,No,2025-07-01,9999-12-31,Price Limited Supports
