sheet,support_item_number,support_item_name,registration_group_number,registration_group_name,support_category_number,support_category_number_pace,support_category_name,support_category_name_pace,unit,quote,start_date,start_date_iso,end_date,end_date_iso,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,Remote,Very Remote,Non-Face-to-Face Support Provision,Provider Travel,Short Notice Cancellations,NDIA Requested Reports,Irregular SIL Supports,type
Current Support Items,01_002_0107_1_1,Assistance With Self-Care Activities - Standard - Weekday Night,0107,Daily Personal Activities,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,H,No,20250701,2025-07-01,99991231,9999-12-31,$78.81,$78.81,$78.81,$78.81,$78.81,$78.81,$78.81,$78.81,$110.33,$118.22,Y,Y,Y,N,N,Price Limited Supports
Current Support Items,01_003_0107_1_1,Assistance From Live-In Carer,0107,Daily Personal Activities,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,H,Yes,20250701,2025-07-01,99991231,9999-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,Quotable Supports
Current Support Items,01_004_0107_1_1,Assistance with Personal Domestic Activities,0107,Daily Personal Activities,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,H,No,20250701,2025-07-01,99991231,9999-12-31,$59.06,$59.06,$59.06,$59.06,$59.06,$59.06,$59.06,$59.06,$82.68,$88.59,Y,Y,Y,N,N,Price Limited Supports
Current Support Items,01_010_0107_1_1,Assistance With Self-Care Activities - Night-Time Sleepover,0107,Daily Personal Activities,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,E,No,20250701,2025-07-01,99991231,9999-12-31,$297.60,$297.60,$297.60,$297.60,$297.60,$297.60,$297.60,$297.60,$416.64,$446.40,Y,Y,Y,N,N,Price Limited Supports
Current Support Items,01_011_0107_1_1,Assistance With Self-Care Activities - Standard - Weekday Daytime,0107,Daily Personal Activities,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,H,No,20250701,2025-07-01,99991231,9999-12-31,$70.23,$70.23,$70.23,$70.23,$70.23,$70.23,$70.23,$70.23,$98.32,$105.35,Y,Y,Y,N,N,Price Limited Supports
Current Support Items,01_012_0107_1_1,Assistance With Self-Care Activities - Standard - Public Holiday,0107,Daily Personal Activities,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,H,No,20250701,2025-07-01,99991231,9999-12-31,$156.03,$156.03,$156.03,$156.03,$156.03,$156.03,$156.03,$156.03,$218.44,$234.05,Y,Y,Y,N,N,Price Limited Supports
Current Support Items,01_013_0107_1_1,Assistance With Self-Care Activities - Standard - Saturday,0107,Daily Personal Activities,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,H,No,20250701,2025-07-01,99991231,9999-12-31,$98.83,$98.83,$98.83,$98.83,$98.83,$98.83,$98.83,$98.83,$138.36,$148.25,Y,Y,Y,N,N,Price Limited Supports
Current Support Items,01_014_0107_1_1,Assistance With Self-Care Activities - Standard - Sunday,0107,Daily Personal Activities,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,H,No,20250701,2025-07-01,99991231,9999-12-31,$127.43,$127.43,$127.43,$127.43,$127.43,$127.43,$127.43,$127.43,$178.40,$191.15,Y,Y,Y,N,N,Price Limited Supports
Current Support Items,01_015_0107_1_1,Assistance With Self-Care Activities - Standard - Weekday Evening,0107,Daily Personal Activities,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,H,No,20250701,2025-07-01,99991231,9999-12-31,$77.38,$77.38,$77.38,$77.38,$77.38,$77.38,$77.38,$77.38,$108.33,$116.07,Y,Y,Y,N,N,Price Limited Supports
Current Support Items,01_016_0104_1_1,Specialised Home Based Assistance For A Child,0104,High Intensity Daily Personal Activities,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,H,No,20250701,2025-07-01,99991231,9999-12-31,$59.06,$59.06,$59.06,$59.06,$59.06,$59.06,$59.06,$59.06,$82.68,$88.59,Y,Y,Y,N,N,Price Limited Supports
