support_item_number,support_item_name,unit,national_2026_27,remote_2026_27,very_remote_2026_27,price_type_2026_27,effective_start,effective_end,schedule,table
01_002_0107_1_1,Assistance With Self-Care Activities - Standard - Weekday Night,Hour,$82.57,$115.60,$123.86,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_010_0107_1_1,Assistance With Self-Care Activities - Night-Time Sleepover,Hour,$311.79,$436.51,$467.69,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_011_0107_1_1,Assistance With Self-Care Activities - Standard - Weekday Daytime,Hour,$73.58,$103.01,$110.37,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_012_0107_1_1,Assistance With Self-Care Activities - Standard - Public Holiday,Hour,$163.46,$228.84,$245.19,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_013_0107_1_1,Assistance With Self-Care Activities - Standard - Saturday,Hour,$103.54,$144.96,$155.31,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_014_0107_1_1,Assistance With Self-Care Activities - Standard - Sunday,Hour,$133.50,$186.90,$200.25,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_015_0107_1_1,Assistance With Self-Care Activities - Standard - Weekday Evening,Hour,$81.07,$113.50,$121.61,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_200_0115_1_1,Short Term Accommodation - Standard - Weekday Daytime,Hour,$73.58,$103.01,$110.37,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_201_0115_1_1,Short Term Accommodation - Standard - Weekday Evening,Hour,$81.07,$113.50,$121.61,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_202_0115_1_1,Short Term Accommodation - Standard - Saturday,Hour,$103.54,$144.96,$155.31,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_203_0115_1_1,Short Term Accommodation - Standard - Sunday,Hour,$133.50,$186.90,$200.25,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_204_0115_1_1,Short Term Accommodation - Standard - Public Holiday,Hour,$163.46,$228.84,$245.19,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_205_0115_1_1,Short Term Accommodation - Standard - Weekday Night,Hour,$82.57,$115.60,$123.86,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_206_0115_1_1,Short Term Accommodation - Sleepover,Each,$311.79,$436.51,$467.69,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_801_0115_1_1,Assistance in Supported Independent Living - Standard - Weekday Daytime,Hour,$73.58,$103.01,$110.37,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_802_0115_1_1,Assistance in Supported Independent Living - Standard - Weekday Evening,Hour,$81.07,$113.50,$121.61,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
