support_item_number,support_item_name,jurisdiction,price,unit,effective_start,effective_end,schedule,table
01_002_0107_1_1,Assistance With Self-Care Activities - Standard - Weekday Night,National,$82.57,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_002_0107_1_1,Assistance With Self-Care Activities - Standard - Weekday Night,Remote,$115.60,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_002_0107_1_1,Assistance With Self-Care Activities - Standard - Weekday Night,Very Remote,$123.86,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_010_0107_1_1,Assistance With Self-Care Activities - Night-Time Sleepover,National,$311.79,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_010_0107_1_1,Assistance With Self-Care Activities - Night-Time Sleepover,Remote,$436.51,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_010_0107_1_1,Assistance With Self-Care Activities - Night-Time Sleepover,Very Remote,$467.69,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_011_0107_1_1,Assistance With Self-Care Activities - Standard - Weekday Daytime,National,$73.58,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_011_0107_1_1,Assistance With Self-Care Activities - Standard - Weekday Daytime,Remote,$103.01,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_011_0107_1_1,Assistance With Self-Care Activities - Standard - Weekday Daytime,Very Remote,$110.37,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_012_0107_1_1,Assistance With Self-Care Activities - Standard - Public Holiday,National,$163.46,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_012_0107_1_1,Assistance With Self-Care Activities - Standard - Public Holiday,Remote,$228.84,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_012_0107_1_1,Assistance With Self-Care Activities - Standard - Public Holiday,Very Remote,$245.19,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
